height;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
101;2804400;2348800;2319400;2317300;2586300;2317500;2301500;2285800;2292000;2296000;2293600;2305100;2294000;2294100;2295300;2290600;2313600;2317100;2299800;2299000;2374800;2314400;2321300;2331600;2365400
107;3333800;3257800;3248500;3229400;3196900;3207900;4170600;4424000;3369100;3238300;3185800;3169500;3185700;3169200;3145100;3148800;3156400;3173300;3144300;3151500;3143900;3166700;3163400;3142700;3151900
111;5326900;2841100;2892000;2868000;2795500;2785000;2894800;2823100;2826600;2782200;2775600;2797900;2868900;2800100;2784400;2778800;2791400;3004800;3144800;5097800;3096100;3044000;2934500;2903100;3083500
117;6292800;4849400;5221400;4766900;4731500;4764800;5054400;4452100;5024700;6013300;4755100;4883800;4566000;4416500;4464500;4655400;4591500;4439500;4400900;4469600;4501400;4466200;4433500;4528100;4391200
121;4734300;4659600;4682100;4737700;4597500;4564600;4544500;4558400;4484800;4393400;4536200;4402300;4383800;4468300;6161500;4946200;4740500;4781200;4659200;4606500;4698000;4586000;4711100;4654200;5557800
127;4036800;3877300;3822400;3887100;3826300;3820500;3899600;3779600;3773600;3861000;3770400;3757400;3827600;3754800;3734800;3782900;3724200;3725200;3792000;3737600;3713700;3787200;3790400;4247100;6194000
131;6847100;6282000;6310500;6407300;6328000;6266600;6361000;6647100;6808200;6269500;6331200;6399100;6250500;6233400;6260800;6557600;6294400;6167300;6208400;6224300;6087600;6025200;6096400;6186000;5980900
137;6531600;6362700;6663700;6337400;6253400;6334700;6626900;6750400;7982700;6645800;6597400;6380900;6349800;6542800;6691400;6365400;6396600;6439500;6557000;6376200;6333600;8094100;6716800;6415600;6309400
141;6825100;6817700;6778500;6963500;6770100;6670600;6613300;6715800;6673100;6802200;6504300;6934300;6514400;6793300;6608200;6583700;6455200;6488400;6538100;6571000;6609000;6613200;6816600;6575100;6542300
147;6494400;7550200;6216400;6399900;6377900;6594800;9561100;7201100;6772900;6727500;6519200;6535700;6650000;6692900;6490000;6545000;7568700;6633400;6367300;6451700;6478100;8548800;7841700;7020100;7006200
151;8997500;8358600;8616700;8040900;9069300;8086700;8135100;8250200;8421900;8460200;10855100;8294700;8335600;8131600;8150600;8178200;8082700;7906700;7943600;7856200;8084800;7909300;8870100;9108300;11209000
157;7279500;6970600;6743900;8483600;6891300;7218800;6993000;6762200;6657000;6832300;6835400;6777800;6747300;6546500;6635800;6564100;6598200;6587500;7472800;6424400;6459900;6523300;6557300;6567900;6624500
161;9430800;9156800;9347400;11550400;12066100;10038500;9824300;9555700;9749000;9851900;9361200;9259700;9395000;9393200;9163800;9168100;10436200;9011600;9125900;9094100;10913400;9817200;9441200;9327100;9668000
167;10337000;10317900;10041100;10034000;9957800;9725200;9660900;9778900;9735400;9638200;9640000;9962200;9957500;9643800;9691100;9804300;9655800;9658800;9635500;9797900;9980000;12951300;11012300;10266500;10123500
171;11482700;11568000;10377900;10062400;9837000;10061200;10828300;9764400;9961700;9950900;12811000;10532500;10388200;10385500;10333400;10571600;10219100;10061100;10138900;12257400;11338600;10722800;10385300;10411300;10411900
