Height;1;2;3;4;5
501;29275000;28361600;30565100;28031900;28059200
499;15350200;15471700;15682200;15232200;15594200
497;30659100;30810800;30788000;30834000;30736100
495;30718700;30772800;30543200;32398200;33163600
493;24415700;23628200;23629900;23747700;23374900
491;30161200;30640900;30031500;29921600;30046700
489;24249900;23906500;26221300;24811100;24420000
487;21963700;21764400;21817800;21494500;24023500
485;30666600;30025900;29393600;28944500;28868200
483;29477200;29410100;29450700;29604200;29202100
481;29255500;29150100;28973900;28819500;29084100
479;28747000;28208200;28268700;28350000;28337600
477;27680700;27496600;27716500;27708800;27777100
475;28220800;28763600;27998600;27984500;28111900
473;28214600;27797000;27793100;28219100;28241100
471;27425800;27248100;27778200;27293500;27178000
469;21185800;21372600;21324700;21053600;21022400
467;27389500;27269700;26936500;27040100;27307200
465;20582200;20300000;20208600;20449600;20369500
463;26929100;26862100;27170100;26971000;26901500
461;26662800;26645000;26599400;26375000;26334100
459;20920200;20747700;20598500;20774500;20839800
457;23617200;23134800;23059500;23212600;24125100
455;26173100;25775900;26261100;25990100;25884200
453;25619400;25299800;25274100;25555200;25473400
451;25309500;25446500;25316600;25099100;25111000
449;25471500;25176200;24844500;25069300;25115500
447;11569800;10852100;10868500;10824800;11021100
445;15458300;15008900;15120000;15300800;15252000
443;24542600;24344300;24301100;24530100;24422300
441;24680000;24331800;24529300;24514700;24184700
439;24327900;24383000;24170200;24007900;23923300
437;18357600;18108500;18385900;18299200;17973600
435;18204500;18179400;18110500;18001500;18123800
433;21985900;21647000;21421800;21440200;21516000
431;23541800;23148200;23021900;23062000;23234400
429;23461700;22916400;22864600;22867800;22989700
427;18272000;17681400;17773500;17776500;18069300
425;22968400;22308200;22301700;22931600;22805200
423;19830600;19481500;19544500;19388500;19390200
421;11052500;10817900;10976000;10526300;10793800
419;21765200;21603200;21588600;21584300;22019600
417;18902100;18611900;18531100;19017300;18462400
415;13671300;13450400;13401100;13821600;13306500
413;21469700;21271900;21307700;21611600;21284700
411;21355500;20991100;20894400;21308400;21094500
409;15612500;15248700;15291400;15366000;15656300
407;20764200;20340300;20467900;20440700;20964600
405;20510300;20155200;20184300;20294900;20488600
403;13079100;12765000;12701300;12676800;12907200
401;20318700;19887200;19850800;19829000;19861500
399;19596800;19426500;19476800;19366600;19833100
397;19962900;19471000;19422700;19865300;20372100
395;19808700;19244300;19861900;20140000;20265400
393;19772900;19160000;19697600;19971000;20019400
391;15480700;15629500;15443700;15984000;15952900
389;18887500;18763700;19885200;19586600;19697300
387;19064800;18643700;19474300;20304400;20827400
385;19099500;18851600;18832300;19108500;19241000
383;18895600;18131100;18492400;18955700;19077200
381;18675600;17820100;18603400;18759600;18891100
379;17922700;17973400;18194600;18414100;18494900
377;18091100;17573900;18007200;18797900;18400600
375;17689300;17037800;16943100;17367900;18009000
373;17869800;18286000;18644500;18284000;18163000
371;17383300;17159700;17570800;17208700;17938700
369;17088100;16905700;17322400;17529600;18127800
367;15854500;15565600;15951900;16120900;16195900
365;16879500;16832600;16802800;17052400;17275800
363;16502400;16203600;16773400;17088000;16386600
361;8003500;7593500;7526800;7142300;7965400
359;16212900;15908600;15868100;16260300;16648900
357;9384000;9415300;8396600;8338000;8587900
355;9519900;9491000;9556300;9606500;9752700
353;15843300;15601800;15963800;16043800;16270600
351;15627600;15232600;15649100;15397600;15334200
349;13882800;13383200;13483100;13418600;13915200
347;14587100;14927100;15286500;15616200;15918400
345;12984900;13195500;13236900;13001600;13334700
343;9214600;9216700;8776800;9035800;9434400
341;14551600;14349600;14000700;14769200;14511800
339;14412700;13874900;13622100;14452300;14084200
337;14078600;13567400;14265200;14228800;14621900
335;14282800;13752700;13381200;13970300;13952400
333;9629400;9198200;9360200;9027900;9324400
331;13921200;13751400;14151700;13616000;13822800
329;13427300;13173400;13784300;13471100;13854500
327;9370400;8750100;9105600;8828300;8910400
325;13363500;13189800;12886700;12920200;13088100
323;13454800;12790000;12759300;13218200;12948000
321;13041900;12773600;12659000;13221400;13290300
319;7737100;7150200;7223900;7288600;6999800
317;12675000;12395500;12039500;12664900;12507400
315;8503300;8061700;7400200;7748900;7515000
313;12235800;11702500;12139500;11995100;12180500
311;12534100;11911900;12101600;12434400;12078100
309;12165600;11409000;11817500;11689200;12150300
307;6747500;6415500;6517200;6204900;6268400
305;11608100;11062900;10931900;10866100;10892600
303;11927300;11358800;10776700;10828300;11113300
