Height;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
2101;765290500;685441200;694377900;708854800;648343100;645586900;643508500;674473600;657939200;649326800;680692200;695628600;651262200;641400200;643310600;661957400;686993000;701879900;791570300;810278600;805473200;760439300;782407900;696936400;759361000;721185000;694605000;764277300;805469000;760383600;669832600;659853500;723748000;783814800;726045100;717939500;752571500;681305700;695996500;690968000;641021100;625090600;651811800;657971600;631118000;626621200;646340600;649903600;629259300;641348200
2099;610146000;602266500;577004500;570210300;577549900;628918500;584555300;568636900;568627000;590913900;595400800;572923400;565732200;572376600;641702300;599185200;570274100;567123600;601092500;590545100;579327600;562975800;586189900;598766400;569778900;565136300;564685700;601109900;578259500;566800300;567077000;584793300;598446700;570491800;564417300;570898600;644369300;578341000;562628600;564419200;587027700;586538300;571637600;563801000;576205000;593033700;585758700;565002600;565322700;593176300
2097;673436700;651670000;651329500;681353000;657454900;637849700;639612600;677577300;671640500;664189900;647172200;682775000;655320800;648328200;659317700;679203100;657601900;639154700;650482000;671293700;643836200;630967700;653078500;676910800;650232800;635344900;662311800;671229600;648090100;719725700;672791000;668132800;633275900;637053200;658017400;664704300;638439000;631887500;666220400;664879000;634490200;635473000;670170500;678761900;648486800;634222300;689177800;664941500;637668400;648662600
2095;696483900;659519200;643736700;648897900;675506100;652627900;643982900;648564600;674194000;652440600;646479700;662412300;681399200;644516200;640054000;664786300;669484000;648666600;644835900;663035700;666833800;656925400;639083100;667387900;672228000;638290800;642483200;683544400;687790800;642674700;638027800;666101300;663550900;638476400;640148500;674330600;656359500;643164900;638743300;671013900;650911100;645544200;653426400;674581000;650606600;636004700;656753900;678394400;647739200;638814000
2093;341744800;346370500;340409100;341146800;338272300;327981500;333647800;344649900;328166700;344834300;356432300;336525700;336857500;327478700;326064200;328264800;337899900;346939100;341774500;341241100;332703500;323562800;331733100;338011600;343229600;348479000;338538400;332001100;331305000;328876200;327510500;333447500;347075500;343360000;342110600;331993300;326369500;334751300;341508500;341902800;350848700;350896600;345153100;330449000;332135800;326367200;331999400;349338500;351261800;341095200
2091;645301300;633870500;653078900;667841900;639372700;785477700;675359600;668984200;630235200;628715900;666729900;645183200;629167000;630660500;653748400;650493500;629066000;628370300;671707700;652410700;632460000;627269900;659297500;645462600;655274500;673964700;699473400;644130700;629304700;628947600;668218500;638324300;627358000;632511100;689837400;645391000;629449000;629423500;660346600;639520200;627878000;632804400;661154000;645065700;631759100;630351300;662304100;641185300;630892400;645989900
2089;690631800;647383800;634228400;639258200;674184300;654464000;637589000;644360900;679713100;643840800;632683000;648180300;663916700;648894300;648164300;651482700;676708600;688222000;726664100;687733500;696933800;644569600;644399400;668501400;671296100;642740000;641174600;682709500;676351800;641868900;770378000;681017200;714985400;641901400;686878600;720254300;649467100;646779200;660658100;664979600;644174300;636785400;664011500;670166700;641914700;649907900;660619900;669393600;642895500;637702600
2087;668052200;651531200;629641100;632927000;655615400;654556800;630996100;628258600;659185200;655421500;643905300;627692700;660255900;665303300;627509300;629355600;659217900;649828500;626187000;632262100;660631800;657347800;627368600;629809000;653008300;662766200;642737200;630895300;661723600;643304300;627053500;629099500;660375200;645543400;628831400;626049300;657655400;655694500;625862100;638371600;665089500;660491100;627365700;624305400;660805500;644072800;619707200;625210600;665524700;647520000
2085;641338100;626791700;658506100;642270000;655849100;715561300;689009700;682517800;661200200;632076000;661720600;643519900;623637000;630038200;657211300;627646500;620642100;627625100;660699200;631532000;622622800;634277400;680013400;635722000;643356900;635588300;658308200;643322100;623734000;631866900;666297100;638690300;625813300;628092700;684166500;642110800;668793400;690135400;677843600;627446000;623838100;633617700;658388400;627727900;621582400;630232700;662171100;628164600;623820800;632242500
2083;399898400;379460400;389296000;365136800;359997100;363450300;390872400;389557000;363964000;371579800;362060000;361552700;360462900;379118800;388163000;368845300;369143500;370033400;383848000;359616100;381324700;381081700;376389200;364056500;360334300;359995100;366640100;378435700;377252300;375924900;363317200;357519100;364423200;368375100;402896300;373121800;376592000;365938800;361459300;358334100;369056700;384365100;385288700;367388900;363409200;362554600;362515300;365074400;389246900;401666200
2081;650986400;619059200;633382000;654506900;625860200;619531800;631408300;655158800;624472400;617004200;628714200;656652100;628236700;628985800;641350500;667083800;629394000;614861100;619746700;651926000;635556200;622344300;622548000;648286900;637540700;622358500;620833300;659138600;641971600;631435200;645264100;661843800;647967400;615757000;617030900;660079700;641504300;616272500;618049900;664457900;637935500;639744400;655274900;618255600;621502200;634306200;633256800;633316300;614668100;632789300
2079;988636200;713435000;622337900;768404500;683309600;897000800;846791800;702284300;649202400;625108100;678964600;626168000;614956900;619646700;649037600;622681800;610460200;614779500;641216500;625422900;617167600;612434300;655961600;696839500;700526600;622977000;730741300;629662500;609342200;614808200;640996400;623797200;611010600;613834100;636820900;625317800;615748200;609675700;634373100;632880200;619766400;616467700;651230000;634065200;613962500;615699300;635624800;633757700;619429700;610534000
