Height;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
101;1171200;637000;581600;556700;541900;1029000;728100;1030000;1162400;650300;619900;564800;563700;557200;559800;560700;629800;577200;574600;594100;611200;573100;575500;548300;567700
107;874300;782500;724000;697200;664100;688900;681900;685300;674800;657400;676200;673800;691900;638700;659200;669500;695200;681800;654500;686600;646400;668000;685100;692200;687700
111;1126200;1066300;965300;1132900;1516600;1047200;1000800;970600;954300;992600;1039400;949300;928500;910200;903800;918900;900000;895700;874900;874700;865300;868500;877100;885400;869000
117;1545500;1660700;1305700;1204300;1192200;1196500;1171600;1238400;1110600;1064700;1077500;1150100;1148100;1063800;1300800;1252500;1109600;1072700;1089100;1060800;1103200;1097300;1102200;1105300;1079800
121;1847200;1499300;1572600;1443900;1462600;1436100;1567100;1407800;1394000;1412200;1424500;1483100;1485400;1352900;1337400;1309900;1317900;1325800;1307300;1301800;1297200;1304800;1310400;1310700;1300100
127;2426900;1364400;1306800;1296200;1298600;1280200;1279700;1291800;1302200;2759600;1313300;1328000;1412100;1611400;1357700;1341600;1343300;1360000;1352900;1317700;1316600;1368900;1361200;1330600;1311100
131;3035900;2232900;2730100;2212500;2170500;2188000;2127100;2142300;2167400;2171100;2242000;2196100;2165000;2217200;2229900;2317800;2321500;2201800;2147500;2170800;2137500;2186700;2239700;2149900;2211900
137;2550800;2013000;1955300;1919700;1921000;1879700;1883200;1894200;1881500;2019800;1975000;1900600;1887000;1906200;1911700;1865700;1837300;1921400;1938600;1936300;1920200;1900500;1867300;1888900;1890100
141;3074300;2399100;2405400;2500100;2286800;2277000;2244700;2309400;2532800;2320900;2334500;2294400;2295500;2292200;2279600;2295600;2331900;2301600;2285200;2324200;2327700;2320800;2275100;2413600;2455700
147;2565400;2054600;2442500;2170000;2148200;1902800;1902800;1905100;1857000;1893400;1918700;1889900;1894600;1889600;1892900;1973300;1966800;1868700;1890000;1955900;1904400;1808300;2060400;1875500;1858200
151;3135200;2975000;3476300;3644800;2859500;2949600;2853700;3240000;2912500;3030000;2902600;3396900;2952500;3270600;2871800;3332900;2909300;3355200;2907400;3273800;2941700;3189700;2948100;3177300;2915300
157;3303500;2779700;2243800;2214100;2369300;2375300;2272000;2336800;2259500;2241600;2231100;2150900;2332300;2287500;2192600;2247300;2216500;2181200;2191900;2159200;2368400;2297100;2198900;2186700;2154400
161;3585800;2534700;2317500;2506100;2308200;2279100;2373600;2425100;2309500;2316700;2295300;2242500;2254500;2202800;2252100;3863600;2310600;2424700;2349400;2304600;2334900;2274600;2346800;2309000;2343400
167;4106600;3582900;3639500;3637600;3665100;3524400;3998000;3584100;3557800;3708800;3496000;3558600;3513900;3561900;3571600;3523200;3560400;3524600;3571300;3705100;3595700;3813900;3582400;3643600;3534000
171;4855500;3585600;3561500;3549400;3640100;3531300;3508500;3505700;3497400;3535100;3440700;3461300;3508400;3455600;3491900;3453800;3748500;3527100;3633600;3982100;3687700;3723500;3570800;3554100;3496800
177;4645500;3868900;3998200;3735600;3599400;3646200;3600900;3569400;3647700;3574700;3662300;3628700;3590100;3616300;3576600;3625300;3609500;3621800;3616700;3588500;3727200;3622500;3650800;3618300;3595000
181;3775600;3822600;3815000;3983200;3941800;3676900;3664800;3645600;3588100;3596700;3541700;3553100;3695200;3561300;3593300;3562500;3634400;3544000;3728500;3583600;3604300;3545700;3524300;3714300;3703200
187;3643700;2797600;2796400;2752200;2754600;2738100;2631700;2617500;2648300;2656900;2635400;2635900;2645700;2602600;2601900;2662900;2586700;2581400;2562400;2550000;2680200;2730400;2622700;2774800;2656700
191;4667900;4158800;4227100;4098900;4133600;4077200;4051400;4068100;4165100;4131800;4131400;5345900;4636500;4288500;4333800;4957200;4954500;4884600;4862600;5067900;4999000;6628700;4477800;4302900;4240500
197;4169700;4022600;4150400;4193700;4151300;4095100;4143400;4068000;4102300;4006800;4013700;3973400;3965200;3986000;4070600;4087700;4075200;3950600;4072000;4065800;4005400;3943800;3903400;3885500;3890600
201;4070500;3805000;5366200;3967000;3969500;3892200;3918500;3930900;4022000;3983800;3972000;3855000;3867700;3928000;4033100;3951100;3983500;3949700;5468000;4227500;4226300;4525100;4091200;4575600;4566600
207;3798500;4516200;4524200;4548000;4536600;3614400;3487300;3503800;3449300;3685300;3662500;3441700;3407600;3424000;3448600;3630700;4039400;3479800;3407200;3413400;3368800;3644100;3442900;3438600;3491300
211;5509300;6803900;5645900;5138700;4937900;4964800;4957500;4940900;4889500;4940800;4996900;4987900;5046800;5927100;5259700;5094100;4996500;5166600;5053800;5026300;5124300;5302000;5104200;5027500;5159100
217;5718700;5483500;5758900;5241100;6031100;5116800;5284200;5019200;5057600;5157900;5195100;5130500;5239100;5136200;5158200;5154800;5188000;5188000;5142700;5130300;5291600;5228700;5254100;5249100;5179300
221;5257400;4466100;4380300;3983900;3975800;4437000;3901400;3877100;3940800;3881400;3910700;3918600;4071200;4105200;4240900;4057200;4182800;4151400;4035700;4023500;4053000;4284000;4096200;3923400;3937900
