Height;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
101;1608700;1525900;1578100;1580900;1556000;1612000;1601300;1686900;1620900;1582600;1630800;1625400;1563500;1562400;1553000;1548400;1555200;1539500;1557300;1561300;1543700;1521400;1556200;1558800;1523700
111;1982800;1873500;1802900;1843000;1866700;1834000;1853700;1947500;1833600;1841900;1943700;1858200;1852600;1893200;1858600;1897100;1901400;1918500;1863600;1881000;1909200;1896600;1988600;1963400;1855800
121;2425900;2292100;2225700;2258600;2272400;2210500;2273800;2278200;2271400;2235100;2284100;2383900;2355900;2273100;2243100;2260200;2441700;2351200;2223800;2335900;2235500;2336400;2381100;2209400;2258200
131;2867800;2621500;2649500;2602100;2658700;2594200;2693800;2595100;2649600;2587300;2619700;2674100;2654400;2666900;2700100;2619200;2651800;2686500;2648400;2592200;2568800;2538500;2705000;2691700;2725200
141;3047700;3070400;3154000;3041000;3065200;3018700;2968100;3022800;3019900;3035100;3079400;3094600;3096000;3112600;3091500;3115800;3079200;3082500;3038700;3109300;3113900;3098300;3085400;3116200;2969700
151;3479300;3491300;3542600;3683700;3532000;4011400;3535800;3876300;4211000;4228500;4409100;4386000;4642300;4723800;4725600;4461800;4283100;4319300;4204000;4433900;4590200;3877800;3754000;3651600;3687400
161;4073700;3993800;3896600;3851900;3792500;3752400;3726700;3688300;3733600;3708600;3664600;3670700;3666200;3679300;3620000;3608700;3605200;3653400;3598500;3594200;3595100;3945300;3702400;3781300;3696700
171;4399700;4186400;4061800;4113000;4143600;4117900;4039300;4011400;4007400;4030000;4029600;4043700;4020700;4058800;4023800;4118000;4227700;4350400;4401400;4445600;4493100;4511000;4862000;4956900;4709600
181;5560300;6694000;5303200;5143700;5002200;4880900;4757200;4768600;4716900;4721200;4847400;4917200;4880700;5103300;6532500;4953800;4904600;4743700;4722900;4825500;5660100;5213200;6926500;5577000;5682400
191;6570400;7022800;6592600;6729900;6683900;6640000;6780400;7077600;6816200;7243400;6801200;6653600;6767900;6378900;6120600;5980100;5687100;5570400;5498700;5481300;5490500;5588000;5866500;5637300;5646900
201;6351500;6318500;6378600;6204500;6117900;6055300;5989500;6283900;6865800;6434400;6562600;6305700;6228400;6082600;6169300;6237200;6278100;6095700;6068300;6102600;6025500;5911300;5936300;5954700;5972100
211;6602000;6542200;7175600;6860600;6837600;6761200;7044000;7229700;7535300;7331100;7329800;7238600;7059900;7053100;7135400;7591800;7207900;6885800;6960500;7773100;6960400;6602400;6472900;6555000;7150900
221;8047200;7784800;8305500;8021300;8380100;8222300;7815200;7889400;7849700;7793500;7900400;8449900;7933800;8226600;8478000;8349800;9179000;8549800;7943800;8105900;8438000;8269900;8400200;8439200;8433700
231;9058400;9183700;8899900;9534000;9301800;9405200;9010100;8896100;8517100;8743300;8102400;8877000;8301700;8652100;8550500;8487000;9053900;8981200;8940000;8641100;8423600;8811400;8404700;7971800;8688900
241;10131600;9582300;9643100;9473300;9339900;9068900;8774300;8440600;8536600;8315400;8299800;8157600;8140600;10036300;8548400;8284200;8117100;8421200;8272200;8423600;8227600;8258600;8429100;8322500;8430400
251;9320000;9080200;10644700;9056300;9067700;8873500;8825600;8929200;9486600;11496900;9836000;9404700;9254400;8923000;8956000;9067700;8984300;9012700;9322600;9219600;8912600;10481500;9129700;9113000;8977100
261;10371400;10358600;10177000;10068200;10027000;10686000;10275700;10071100;10363100;10623200;11065900;10247200;9728400;9690100;9820700;9913800;11572100;10361600;9873700;9896800;10707000;12278100;11758400;10032300;9850800
271;10895300;10831000;10735100;10623400;10619300;10578300;10550400;10637600;11510700;10967100;10612300;10407000;10386500;10356000;10419300;11080100;10947600;10614500;10442700;10512500;10424200;10384200;10396700;10606200;10636900
281;11392400;11255800;11218000;12510000;15006900;12717500;11754200;11610400;11498600;11279400;11132300;13087500;11781200;11346600;11397700;11365700;11248000;11212300;11130200;11291100;11556400;13381900;11662500;11433700;11320300
291;12194400;12061800;12739100;12299100;11967700;11983200;12060200;11934600;12126300;12044600;11988000;11812000;11855300;13438900;11939400;11912400;11962400;11985200;11861400;11831700;11824300;11937300;14746700;13033100;12937900
301;13681400;13735200;13917500;13729400;13868300;13889300;13886000;13734000;13591400;13676600;13655200;13726800;13899200;14414100;15043300;14029000;13655900;13813100;13915500;13697500;14297500;15701700;14271600;14207400;13344700
311;14797900;14313200;14384100;14666000;14990000;15532100;15573300;15720000;15340100;14608300;14594800;15836900;15334600;14597200;14650200;14274200;14463000;14596300;14506400;14631800;15179100;14751000;14559300;14423300;14441200
