Height;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
103;1778200;1824800;1782300;1700300;1286200;1290600;1372300;1325000;1368500;1303400;1297700;1312400;1298800;1241600;1271700;1309300;1314500;1306300;1399700;1315300;1643000;2549000;1563400;1305400;1279500
109;2255700;2533000;2343800;2139300;2149000;2316300;2124300;2115100;2151700;2101900;2530000;2933800;2923600;2345200;2215400;2099300;2083400;2067600;2378000;2966400;2285600;2156400;2204300;2116500;2064300
115;2862700;2745800;2321600;1913800;2140000;2716100;2656200;2512800;1969500;2109100;2147800;2002500;1843000;1930400;1955200;1925400;1866200;1825800;1842300;2224500;2337600;1998100;1911200;2017200;2285800
121;2945400;2855300;2921100;2746400;2735400;2651800;3347100;2737200;2789800;2699700;2724100;2904000;3210000;2750800;3577800;2744800;2743900;2867700;3305500;2825700;2780300;2675500;2856300;4473900;2762000
127;2709300;2449700;2505100;2694100;2506500;2453600;2459000;2825700;2731100;2561500;2604600;2602800;2520800;2634200;2523900;3474000;2507100;2455400;2450000;2451400;2401800;2515400;2667100;2558900;2584700
133;2853000;2707700;3220400;3206100;3546800;3252400;2702400;2657300;2534900;2515100;3568400;2932400;2673600;2599100;2562600;2869100;2544700;2576900;2523300;2528500;2781700;2519500;2500700;2533800;2557500
139;3089600;2862900;2796800;2998400;2808600;2786800;2746900;2755000;2745800;3698900;2824400;3067100;2772500;2748200;2780800;2749100;2721400;2779200;2771500;2755800;3337100;2850100;2871300;2941600;2941100
145;4717900;3877300;3953500;3963200;3878200;3860500;3836800;4026100;3887300;3877800;3861600;4045100;3873200;3885700;3968200;3961800;3901200;3899000;3870800;4031900;3879400;3936400;3843900;5885400;4149800
151;4333900;4031500;4039300;4015700;4147300;4074100;4041800;4112100;4126300;4114500;4161900;3996300;4571600;4012800;3988800;4108300;4987500;4070500;4055700;4458800;4106600;4033400;4028300;4201600;4056800
157;4172300;4004800;4727700;3897200;3925900;4024800;3914100;4005900;3901800;4067600;6104000;4072700;3942800;4038700;3964600;3987100;4006900;4176800;4071200;4051300;4027500;3993900;3868400;3859000;3882100
163;3002200;2597600;3185400;2634400;2466900;2433800;2401400;2386400;2421800;3002700;2570200;2474000;2438000;2406500;2403600;2665600;2476900;2411500;2425700;2484800;2434200;3730300;3176900;2614500;2570600
169;5239800;4882000;5066400;4704600;4715700;4701700;4795800;4785100;4708100;5377200;6456800;6560300;6643700;6588000;5599200;4776100;4716400;4841300;4770400;4733100;4718700;5816100;5211300;4803400;4780800
175;4489100;4286800;4056800;3970500;3948200;4184700;4221600;4017900;4132800;4591700;6105700;8053900;4230400;5121600;5564500;4406000;4115400;4031600;4225700;3981400;3946900;3912400;4119900;3968500;4146800
181;4158900;3804500;3827700;3799000;3792500;3743800;3767100;3834400;3765100;3752800;3852100;3780900;3759200;3750200;3730900;3760100;3758000;3736700;3725900;3813800;4908500;3875500;3740500;3805700;3826400
187;4891200;4772600;4554500;4244000;4228100;4178600;4155100;4403500;4201700;4210600;4186000;4213100;4221200;4199400;4228200;4284100;4215800;4188000;4201400;4204100;4160400;4175200;4222000;4231200;4210300
193;7314000;6969000;7032700;7023900;8548200;7430300;6998600;6914400;6881200;6886300;6896100;7075200;6884400;6885600;6894500;6968400;6899300;6877900;7212300;6856400;6938800;6824000;6846900;6833500;6831400
199;4329800;4245700;5737400;4238000;4027600;4022800;5064700;4083200;4062500;4262100;4818000;4192000;4014400;4171400;4021500;4041300;4006200;4250400;4040600;4008300;3977600;4479300;4018400;4051500;4306400
205;3318500;4151000;3219700;3146100;3118200;3071700;3405300;3507700;3170300;3511600;3223200;3105200;3041300;2995000;3002900;3010000;3035300;2998200;2990200;2970400;2976800;3026900;3100900;3036300;3023700
211;5024800;4804500;4151700;3337100;3989300;3395100;3356700;5025000;5095900;3847100;3319300;3197800;3594600;6219700;3870300;5025900;3785200;7408700;8543800;8677000;3745700;3519600;3312000;3289000;3219100
217;3647100;4117600;4242400;3866900;3648100;3597100;3520900;4771300;4889100;3711700;3563100;3538300;3507600;3399800;3473700;3429300;3401000;3451900;3448400;3595600;3417500;3474500;3352500;3370600;3429300
223;8973900;8464100;8336800;8459900;8366200;8393200;8292000;8559500;9759000;8549600;8507900;8513100;8588100;8584100;8496500;8584500;8570100;8642400;8959400;8585200;8683400;11565500;10643100;11478900;9193400
229;8429900;8116500;7669900;8247700;7842500;8059700;7857000;7905600;7776500;9543500;15865400;7844200;8613800;7721200;7893700;8488100;8217900;7784700;8157000;8918100;7803600;7708200;7951600;8766200;7666500
235;12044400;11504300;11433900;11399800;11393500;11528400;11416000;11649400;11446100;11366100;11513900;11377100;11450400;11335400;11315400;11455700;11373000;11224600;13007500;17037500;16304400;16063000;16111600;17442000;11860200
241;8577000;8738900;8178600;9281900;8283000;8299200;8357500;8218700;8346400;8343700;10057600;10593800;8365100;9103500;11366500;9859400;8297700;8308200;8277000;8227900;8165000;8162000;8268000;8142200;8307800
247;9313800;8002200;8048400;8017700;7995800;8015700;8062400;7925900;7861600;7538100;7853100;7554200;7873500;7818800;9583700;10435600;13753700;8852100;8772800;10157200;11416200;8089200;7861000;7775600;9530400
253;5085500;4802800;4733300;4599700;4329800;4387100;4706300;4793800;4645100;4308200;4367000;4737000;4735400;4619000;4375700;4733300;4731500;4634600;4392000;4465900;5370600;5821000;5378700;4821000;5063900
259;5428000;6090900;5696400;5111400;4977400;6342100;5302800;5283000;5211200;5130200;4605300;4661400;5396400;5229800;5470600;5669900;5129400;4774600;5370400;5945100;5496300;5268600;5154700;4599900;4889200
265;14840300;14354100;13750500;13789100;14249600;13912700;13907500;14145500;13866600;15167600;19054400;16732500;13694100;15343200;14617000;14746300;17685000;18368200;14415900;14564200;14180100;14674200;13986700;14239900;14748500
271;9385800;9047600;8740100;9095800;8672500;8662400;10798200;8967800;9095400;9951700;10247200;10220500;9551600;10628300;10836700;9564300;10447100;8790800;7776200;7992900;8386000;8474900;8204800;8290800;8194000
277;14290200;14989600;14926700;14030700;14049000;17756000;14129300;13770300;14553600;19947900;23326800;17056700;15579800;15435000;14235400;15330700;13859500;13136200;14000400;14282700;13539400;13996600;13801400;14205000;14037400
283;10574300;12203500;11161200;11400100;10196100;8849600;10091100;8318200;10232900;8652900;8455000;8267800;9431800;8940100;10161700;8253900;8999800;8862000;8252600;7979200;8150500;9603800;8762800;9609700;8518300
289;20414000;17010700;17500000;14619900;13451400;13034800;12956700;12888100;12816900;12840500;13134100;13394000;13243200;13934500;14016200;13274500;14084900;14581800;14309100;14389700;13815800;13149300;13600500;13031600;13490300
295;9271500;8875900;8122400;9055700;7952500;8477400;8151600;8303300;7869700;8526100;7865100;10312600;8297100;7988900;9051000;8303600;8932000;8502400;8623300;8161200;8581500;8205900;8993700;8370800;8915400
301;7566600;7516300;5875600;6473000;6505300;6401400;6582400;7613100;6517900;5914900;6353000;6380600;6284400;6272500;6515300;6469200;5806100;5879400;6170900;5927600;6357900;6185600;6436200;5767700;5698300
307;13840700;12100100;13529100;12314600;12657500;12550100;13166300;11860000;12076900;12275100;12229100;12457100;14460900;13553800;14977900;14053100;13928500;13158400;11973400;12210100;12388700;12623200;12156100;12164800;12406000
