Height;1;2;3;4;5
501;65833300;68040200;67012600;68686000;75550700
499;33213900;37060500;34268000;32875200;36837100
497;70698500;77541100;66964800;71099700;66763100
495;71999700;72988700;76978400;68941400;68520400
493;54352700;55458900;53380300;50979100;56322400
491;69253300;63247000;62053800;63451300;62114000
489;50561400;59417000;50309100;51200500;59815200
487;52321700;48630000;46661000;56564500;54355200
485;62874000;64346500;71443900;65259500;61627100
483;66631000;65748000;66213900;68534400;64356500
481;70223300;71908600;63605900;67836800;65264300
479;61495900;64875300;64012600;63689800;66490200
477;64675900;61277100;60417300;60718500;59731900
475;65782600;64467400;64527100;66969200;64792500
473;58360300;59233700;57107800;59026400;58227300
471;63086800;77099800;64863300;63264600;60204300
469;45301000;46400100;44458400;47496900;46666300
467;62003500;61701800;61755300;59811400;57426900
465;45086100;48918200;44512600;45733100;45389200
463;59123200;63849500;71816200;58526200;60477300
461;56151300;56598000;58402300;58124400;62009300
459;46999200;47907900;50269800;45023900;43159200
457;51645500;50665100;49768500;50028800;61543000
455;61727200;63735100;63977800;54420000;54889300
453;55537900;54126100;59059400;58104100;56386700
451;55284500;54545800;53749300;54202800;57657000
449;54190600;63644600;69430500;63638400;59189500
447;22512300;22163500;22628000;22348900;22391400
445;31308900;32418400;32994400;32643300;33789400
443;56726800;56593400;53209700;53604800;55285300
441;62954700;58651100;51952300;54640300;52069100
439;51128400;50270600;50403900;50349400;53317300
437;40708600;43148300;40965000;41575200;38840900
435;38243100;37827700;38491700;45107900;51083400
433;52231900;49704100;46870800;45948700;45005700
431;52453000;50747700;55802000;51156700;51294100
429;54647300;50543900;48247900;48409400;49830800
427;43776700;52380900;42174200;38891300;41563200
425;48985700;47175200;47617700;48060300;49109300
423;43626900;44035100;48379000;46456000;45150800
421;23232300;22731000;22373800;22912700;23124400
419;46442600;47047900;48645700;60619500;52309300
417;42523300;41167900;41801500;41126300;40087700
415;30062800;28548100;31616400;30251900;31118100
413;50145800;51125100;53663000;50214400;47634300
411;46873700;46459100;46138400;46189200;44404700
409;36897300;44094600;39860500;34128700;32625600
407;45931400;44228300;43607700;43364200;44618300
405;45574600;44975700;47505000;46627900;46514300
403;27360800;28068000;28740600;27468100;26721200
401;43606600;44015800;45842100;43886800;45117200
399;41763500;42969600;43565100;44008800;42535200
397;45087200;45876500;44909800;43093400;41470000
395;39543400;39205000;39710900;41441900;39778500
393;40877900;45423700;45878700;42147000;43194700
391;33078700;33501500;32417500;31441900;31832000
389;38695000;43648100;39422000;39380400;41446400
387;46222200;41589500;43538200;41165700;41315400
385;43827800;41311500;39966700;41694500;39345900
383;41195200;38013000;40632500;38378200;38341800
381;37189600;38271000;40266400;54665700;46604400
379;39030800;37990600;38036600;39325500;38404400
377;37768000;36765200;37879600;38249800;36255000
375;37580100;38812800;37979400;39637100;42711100
373;37828500;39752900;36653700;36930100;36424000
371;37502000;37100400;36334300;36300200;38482000
369;64833300;37202200;36478500;36283200;37851200
367;34196200;33641100;32597100;32286500;36226600
365;36593600;40148900;37035300;36979600;35740000
363;36161500;36544200;38143500;35276000;34392900
361;16266300;16223600;16104100;16355200;16554600
359;36477500;37101500;34771500;34921000;36309100
357;20800400;18043900;18307100;18973300;18537100
355;20887900;19762900;18963000;19176700;19667600
353;31983100;31045300;32566700;32127000;34307000
351;32674000;31740700;31305900;31990400;39444000
349;29133100;28435500;28487500;32724700;27968300
347;31480600;30243400;30906100;29995200;30994300
345;26127600;25919800;25189100;26279700;25935400
343;19468600;18950300;22520400;18575500;18408800
341;29832500;29582500;31212500;28576900;30016600
339;29131700;28664800;28604100;28854400;28077300
337;28963600;27737800;31621900;30398900;29196800
335;30747600;29056100;28780500;28484900;28203300
333;20000800;19640900;19480000;19424500;18946200
331;28183500;27458000;27214200;29443900;26747300
329;28249200;27245000;27170800;26790900;29102900
327;19141800;18937400;20015700;17737300;17574400
325;26744000;25845300;26186500;25710600;26195000
323;26402500;26417600;25636700;26190700;26944500
321;28284000;30030200;26763900;27455600;27346200
319;14075900;14048600;13722900;15325100;14775200
317;25077500;25868800;25767800;24745700;24699600
315;15322700;15136700;15145100;17605800;17501600
313;24632900;24594000;23945100;24055300;24409000
311;23891800;24455900;27750600;24818400;24919000
309;24406200;24723700;24900800;23294200;23401200
307;13057800;14271000;13333300;13051600;13291400
305;23532300;23340100;27523700;23042900;22741300
303;23262400;22312900;24085700;22395600;23529200
