height;memory_before;peak;growth
101;5136;5428;420
107;5292;5552;124
111;5396;5632;80
117;5460;5760;128
121;5524;5836;76
127;5532;5864;28
131;5568;5984;120
137;5688;6052;68
141;5812;6120;68
147;5808;6288;168
151;5964;6356;68
157;5908;6432;76
161;6060;6608;176
167;6164;6648;40
171;6184;6832;184
177;6336;6984;152
181;6400;7096;112
187;6460;7244;148
191;6640;7300;56
197;6648;7504;204
201;6984;7652;148
207;6900;7944;292
211;7096;7944;0
217;6964;7944;0
221;6992;7984;40
227;7100;8096;112
231;7228;8220;124
237;7184;8296;76
241;7204;8416;120
247;7280;8720;304
251;7508;8748;28
257;7876;8988;240
261;7872;8988;0
267;8112;9336;348
271;8220;9568;232
277;8056;9584;16
281;7988;9584;0
287;8072;9848;264
291;8692;9848;0
297;8376;10372;524
301;8660;10372;0
307;8560;10420;48
311;8964;10632;212
317;8728;10656;24
321;9252;10932;276
327;9232;11208;276
331;9320;11248;40
337;9300;11740;492
341;9464;11740;0
347;9260;11824;84
351;9524;11824;0
357;9748;12252;428
361;9464;12252;0
367;9616;12252;0
371;9676;12252;0
377;9744;12732;480
381;9864;12732;0
387;9956;13188;456
391;10328;13188;0
397;10192;13224;36
401;10084;13384;160
407;10260;13668;284
411;10240;13736;68
417;10412;13940;204
421;10308;13940;0
427;10424;13956;16
431;10864;13956;0
437;10320;14480;524
441;10620;14480;0
447;10652;14620;140
451;10744;14620;0
457;10676;14680;60
461;10792;14936;256
467;10748;15228;292
471;10748;15228;0
477;10692;15416;188
481;11004;15416;0
487;10784;15940;524
491;11108;15940;0
497;11132;16092;152
501;11008;16092;0
507;11212;16232;140
511;11108;16232;0
517;11040;16820;588
521;11092;16820;0
527;11380;17160;340
531;11232;17160;0
537;11452;17300;140
541;11304;17360;60
547;11452;17700;340
551;11160;17700;0
557;11612;17912;212
561;11260;17912;0
567;11732;18516;604
571;12072;18516;0
577;11828;18748;232
581;11576;18748;0
587;11972;18848;100
591;11612;19212;364
597;12088;19572;360
601;11872;19572;0
607;12188;19704;132
611;12068;19704;0
617;12028;20056;352
621;12460;20160;104
627;12200;20420;260
631;12388;20420;0
637;12572;20788;368
641;12484;20936;148
647;12704;21220;284
651;12956;21220;0
657;12456;21220;0
661;12844;21220;0
667;12728;22096;876
671;13028;22096;0
677;12528;22096;0
681;12828;22096;0
687;12708;22344;248
691;12992;22344;0
697;12836;23204;860
701;13192;23204;0
707;12976;23336;132
711;13252;23336;0
717;13260;23552;216
721;12960;23716;164
727;13040;23912;196
731;13872;23912;0
737;13232;24320;408
741;13112;24320;0
747;13108;24976;656
751;14080;24976;0
757;13392;25348;372
761;13756;25348;0
767;13348;25404;56
771;13660;25832;428
777;13832;26204;372
781;14176;26204;0
787;14220;26464;260
791;14196;26464;0
797;14500;26968;504
801;14452;27120;152
807;13976;27168;48
811;14372;27260;92
817;14116;27588;328
821;14356;27588;0
827;14616;27876;288
831;14632;28136;260
837;14628;28136;0
841;14704;28300;164
847;14548;28560;260
851;14616;28592;32
857;14324;28896;304
861;14488;28936;40
867;14464;29220;284
871;14644;29272;52
877;14604;29628;356
881;14560;29640;12
887;14652;29960;320
891;14784;30016;56
897;14676;30328;312
901;14416;30368;40
907;14544;30720;352
911;14516;30720;0
917;14620;31004;284
921;14536;31004;0
927;14464;31528;524
931;14592;31528;0
937;14624;32008;480
941;14368;32008;0
947;14460;32304;296
951;14064;32304;0
957;14672;32480;176
961;14488;33016;536
967;14596;33128;112
971;14436;33224;96
977;14596;33476;252
981;14560;33912;436
987;14900;33984;72
991;14264;33984;0
997;14388;34256;272
1001;14424;34412;156
1007;14540;34992;580
1011;14556;34992;0
1017;14532;35132;140
1021;14356;35708;576
1027;14728;35832;124
1031;14836;36156;324
1037;14716;36212;56
1041;14476;36400;188
1047;14796;36692;292
1051;14804;36908;216
1057;15312;37180;272
1061;14908;37180;0
1067;14748;37768;588
1071;14360;37768;0
1077;14752;38096;328
1081;14588;38096;0
1087;14784;38296;200
1091;14764;38540;244
1097;14816;39032;492
1101;14712;39072;40
1107;14580;39784;712
1111;14932;39784;0
1117;14528;40168;384
1121;14688;40168;0
1127;14572;40296;128
1131;14628;40376;80
1137;14556;41036;660
1141;14936;41036;0
1147;14492;41140;104
1151;14560;41752;612
1157;14812;41984;232
1161;14892;41984;0
1167;14568;42484;500
1171;14992;42484;0
1177;14788;42884;400
1181;14584;43088;204
1187;14520;43568;480
1191;14508;43568;0
1197;15376;43808;240
