Height;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
101;1835959;1729875;1754250;1706875;1692584;1442417;1409334;1412833;1397667;1232541;1217209;1206625;1211291;1206209;1080333;1071125;1070375;1069208;1072583;1026041;961167;963000;964334;960208;960333
103;1182041;1158250;1153959;1150667;1130166;1063500;1064875;1062750;1064625;1059208;1021542;995042;996125;1000500;1000750;997834;964375;948500;958959;953250;948417;952708;931792;908833;906125
103;1411750;1402833;1367667;1354334;1348083;1350041;1344166;1306166;1304958;1299083;1283625;1284000;1285500;1282458;1285125;1287416;1282583;1285625;1289375;1281542;1286750;1281792;1285000;1286166;1323666
105;1042792;1033792;1031541;1030625;1034500;1031459;1029875;1030833;1028792;1032833;1039250;1028333;1028625;1028375;1033958;1031042;1029875;1027500;1022709;1050834;1063625;1026542;1032000;1026542;1024125
105;928500;927083;923541;921500;922792;922167;923500;923709;919000;920375;928834;919833;924541;922208;927834;925041;920208;918333;921416;918375;918833;925166;923416;921000;919417
107;784583;773375;777667;773250;775875;769625;769042;770084;770583;770625;769333;769542;771500;769958;769958;787750;775625;775500;683916;682333;705666;711750;693583;705875;710833
107;1103959;1090000;1097333;1102500;1093084;1106875;1089083;1101000;1102917;1123541;1112042;1093250;1102625;1096792;1094750;1098000;1092000;1090708;1104583;1101875;1104083;1100166;1106083;1108000;1103958
109;1022292;1043625;1034125;1037125;1018791;1030208;1026375;1039042;1022250;1034333;1030875;1031875;1049500;1038000;1019625;1035708;1018916;1020916;1050333;1022583;1032875;1034375;1030375;1023542;1039334
109;1003750;1025250;1029500;1022208;1054750;1030625;1030042;1031000;1035125;1042375;1025916;1025083;1038583;1041541;1037291;1031083;1037833;1037208;1041166;1028416;1039875;1030000;1029834;1050250;1025917
111;1112959;1089750;1102875;1109417;1109541;1104292;1090458;1096916;1125875;1097084;1113250;1104125;1100708;1110042;1129959;1090708;1094292;1106125;1117667;1106209;1098584;1098209;1105459;1113334;1097209
111;982375;941792;958333;1002417;952666;950125;954625;949500;953500;945584;960500;952458;954958;957250;956542;958125;963291;958750;959542;950375;952584;971417;958833;953250;958833
113;1144083;1164375;1151958;1165792;1172500;1150667;1170459;1153584;1159584;1156125;1165541;1160959;1149334;1168042;1147500;1154708;1170292;1158125;1153833;1162417;1164542;1152625;1167500;1166292;1153291
113;612333;623708;634583;631333;630791;626708;639958;635750;626584;620375;618833;637125;618791;627000;623750;637042;624416;622792;625542;633500;606000;622375;636042;618500;627542
115;1511167;1492208;1486417;1505958;1490792;1478833;1496834;1474875;1508875;1478542;1497750;1482750;1504667;1488583;1506166;1476833;1491625;1487917;1495208;1490666;1487542;1493167;1493584;1488250;1486209
115;1314833;1308959;1307791;1305125;1321792;1302417;1298917;1315042;1326875;1339208;1345666;1336291;1348417;1357375;1341250;1347458;1353833;1343167;1373042;1363209;1357375;1359375;1377166;1365875;1367917
117;1109875;1129208;1118917;1133833;1132416;1112500;1123709;1120333;1139750;1120708;1123541;1126291;1134291;1128583;1123708;1125792;1135584;1122584;1132125;1140500;1141209;1117208;1131750;1135584;1118292
117;1570709;1559916;1560542;1554667;1559667;1558916;1572541;1564625;1575083;1547750;1561917;1571834;1559833;1561084;1563500;1566000;1561792;1554500;1559875;1568834;1563750;1561834;1581667;1565584;1562208
119;1186500;1185250;1177916;1172791;1167417;1178792;1170208;1177875;1180166;1177834;1181458;1174666;1163416;1181125;1188916;1170000;1180666;1172667;1182333;1181750;1173500;1175042;1178334;1167083;1191125
119;1912167;1945083;1924542;1911500;1912292;1912917;1924834;1918959;1912209;1914500;1904000;1915125;1921458;1930667;1904667;1919459;1924708;1916416;1912667;1919834;1922833;1911000;1928375;1911458;1919959
121;1982417;1976541;1968208;1967125;1978666;1963458;1968666;1969416;1969500;1964250;1968375;1983875;1971584;1977000;1972875;1984667;1993042;1969833;1970375;1981542;1984875;1973250;1996208;1965458;1976000
