Height;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
101;1845600;1821400;1830900;1864500;1842000;1876500;2185800;1857600;1804400;1850200;1820200;1831000;2320200;1913200;2658300;1945300;2104400;1934000;1938300;2072500;1947400;1833300;2637100;2032100;1868300
107;3534800;2590100;2610300;2938100;2676300;2450700;2943300;2909300;2792400;2486400;2465100;2438900;2455200;2923700;2559300;2451200;2485400;2430700;2517700;2898300;2561900;2489000;2476100;2444600;2422000
111;2649500;2658300;2724500;2671000;2651900;2683700;2622400;2633000;2626500;2734300;2718500;2727700;2670500;2705100;2694400;2690000;2890400;2769900;2642700;2665200;2611300;2676000;3496300;2887000;2685200
117;2510500;2627300;3155800;2610500;2594600;2557900;2517000;2556600;2601500;2593900;2579100;2585000;2529400;2559600;2542000;2585100;2561200;2542100;2552200;2546100;2521900;2569100;3665700;2614600;2500100
121;3116700;3123400;3110100;3214000;3126500;3096500;3149300;3059600;3125200;3135500;3159000;3209700;3192500;3197300;3163000;3106900;3231800;3354200;3173600;3202600;3159400;3262700;3197400;3148100;4249700
127;3499500;3504800;3514300;4760600;3548800;3523800;3540600;3600300;3552300;3693000;3534200;3513600;4287800;3763800;3585500;3533800;3885700;3830200;3675700;3594300;3542200;3806200;3565700;3506700;3513100
131;3004500;2888700;2970400;2868000;2900500;2897700;4087900;2863100;2834500;2838100;2871200;2966100;2926600;2880100;2829800;3057800;2835500;2863900;2843900;2878400;2874300;2934700;2928100;2885300;2857300
137;3957100;3974500;3922800;3990300;4040200;4093100;4094900;3991500;4010700;3952400;3944000;3931200;4605800;3956300;3839400;3874800;4761600;3887700;3887100;4667700;4187600;3961200;3853800;3927500;4052200
141;2633200;2678400;3271500;2809800;2701200;2814400;3061200;2852700;2895300;3285400;2815700;2808800;2682200;3348400;3000800;2672700;2763700;2642100;2671800;2695200;2639000;2636400;2628600;2714700;2616300
147;4798700;4693600;4513300;5349700;4609700;4510800;4531100;4542900;4463500;4456200;4554600;4610700;4543100;4552900;4667100;4718000;4724000;4909800;4676000;4938500;6217000;4935700;4758900;4673000;4743500
151;5052000;4826800;4858700;4916300;4430400;4271200;4422300;4911600;5219400;4758000;5107100;4537100;4477800;4648100;4675800;5163700;5059800;4958000;4142700;4193500;5264500;4387000;4183800;4601200;4859600
157;6405100;5385600;6064700;6367500;6007200;5923500;6184800;5173500;5276800;6094400;5177700;5402900;5353900;5121800;5170500;5705300;5169400;5325300;6135500;5516700;5241600;5804500;5248900;5455100;5601600
161;4870200;4960000;5231600;4957700;4936500;5911200;5234800;5047000;5243300;5008400;4871500;5039100;5255200;5128200;5286300;5337600;5006800;4876900;5274600;4946300;4853600;5394100;5066600;4938000;5339300
167;5213600;5447700;5369000;5154300;5617300;5536700;5232200;5429700;5893900;5377100;5743100;6210200;6048600;6149700;6139400;5424400;5584300;6095700;5500000;6644500;5552200;5185900;6177100;5443500;5464100
171;4287100;4285600;4383800;4378300;4133100;5021200;5541300;4896000;4601400;4748400;4752900;4508700;4383900;5025300;4455600;4460400;4429900;5081700;4208700;4217100;4844200;4199700;4161200;4166300;4697000
177;4514100;4695900;4596400;4526200;4451500;4412800;4998800;4440600;4558500;5060400;4999700;4575800;4557700;5641800;5807600;4851300;5747000;4453100;4362500;4550000;4462900;4521100;4533200;4882900;4451100
181;7329200;7386200;7318700;7311600;7672800;7840600;7626600;7978500;7667800;7875500;9753800;7886700;7487500;7419700;7354900;7830200;7564700;7928400;8911100;7765400;7511200;7727600;7682500;7748300;7760500
187;7946000;8563100;7742700;7951700;7759400;9149400;7875500;8038500;7873000;7928300;8045600;8105700;8084300;7915900;7858300;7906900;7967900;7910400;8158700;8017600;8411100;8074200;8593500;8235200;9110800
191;6377400;5974000;7474400;5939500;5865200;5700900;5791800;5748900;6076400;5636700;5505700;5659500;5661600;5591400;5619600;5527000;5450700;5743200;5604400;5716900;6071900;5805000;5952100;6197500;7058100
197;9311900;8828900;9174200;9615900;9111000;9343000;10543800;9617400;9397500;9060000;10125600;8735800;9654100;9598200;10032600;9286900;8873000;8391900;8319700;9580100;8733400;10566500;9544200;8723200;8371500
201;8965600;8744100;8930000;8772900;8724500;8853000;9028800;8901400;8760100;8779900;8857800;8789800;8841700;8774600;8943700;9059900;8725900;8563500;8622700;8814700;9362300;8785600;8825800;8777300;8753100
207;8733500;8647500;8782100;8961700;9257900;9093600;11221600;11633900;11460400;9189800;8999200;8922000;8904100;9041200;8953100;8891800;9131200;8935400;8947800;9463500;9258700;8999300;9982400;9323500;9322400
211;9361600;9729700;10016700;9486100;9455200;9336000;9435100;9323900;9528900;9460300;9339300;9636500;9418500;9287400;9445500;9511000;9419400;9912000;11154900;15289200;9958200;9524500;9337000;9434100;9548200
217;10465500;9630500;11140400;9850700;9707800;9776600;9606400;9635700;9653900;9624400;9610800;10155200;10003300;11286500;9857200;9593300;9572900;9801200;9837900;9852600;9587500;9550100;9579400;9561400;9593500
221;11004800;11232300;11165500;13589200;13694800;12511800;11038400;11244100;12312600;11037500;11110000;11079500;10996900;11408100;11157000;10994600;11048500;10934200;10976900;11052100;11288500;11716700;11113000;11147300;12915000
227;11425400;11361100;11216900;11381700;11275500;11298600;11168400;11258300;11334400;11330300;11302000;11126800;11220200;11310500;11276600;11189200;11863200;11366400;11222600;11157500;11290300;11146800;11170700;11261300;11210600
231;11934600;12054100;12254900;12044300;12044800;11823800;11913400;11957500;11988900;11875600;11793400;12105500;14271100;12059700;12806800;12042900;11947400;11898300;12603300;12219500;12042200;13169700;13473400;12110200;12168800
237;8680300;8720900;8821200;8350600;8348100;8304700;8671600;8641800;8712600;8464200;8257900;8367300;8391600;8541600;8561100;8484100;8960400;8594900;10187600;8564900;8602400;8581300;8495100;8513700;8561000
241;11908500;12322800;11101700;11587800;12594600;12065200;12252700;14528700;12499000;12329500;12969600;12453200;11153100;11281300;11250600;11605300;11863200;11314400;10774400;10842700;10871200;10854100;10855300;11533700;13179100
247;11751900;11183900;11080100;11356900;11075900;11063900;11251000;12765900;14776500;13568200;13573300;13920400;13229700;14063100;12935700;11772800;12284400;11926600;12309300;12007000;11547300;11837200;14352700;12592500;12793300
251;15986600;14425700;16710100;17015800;16765400;16147000;15797000;16600900;15307700;14276700;13730600;14201600;14206200;15010300;13453500;13544400;14363100;14086200;14255000;13677800;13911400;14070800;14476600;13665800;15122200
257;16680300;16930500;15726200;15239100;14875300;14973500;16210200;16456400;16583800;16402000;16692000;16688200;16709800;16422700;15653900;14769200;16468000;16088000;15701900;16435200;16311600;15633800;16154300;16278200;17513100
261;13316800;13115500;13085200;12719000;11228700;10934100;11101000;10954100;10971700;11902000;11043200;11076800;10974800;11127100;11122700;11098400;11187100;11469800;11155300;10984900;11036800;10998000;10838600;10955300;11391700
267;14602800;13816400;13354000;13153000;13049300;13315500;13323900;13889500;13145700;13097900;12901100;12859600;13665400;13325800;13046300;13133500;13126900;12870500;12683700;12832400;12859500;12818700;13453400;13185200;14189000
271;17835600;16425100;16343700;16260700;16416000;16415500;16811900;16909700;19355200;17832500;17030300;16772200;17307000;16676800;16402200;16571100;16364800;16588500;16531200;16776700;16697600;17031800;20582700;18115500;17341100
277;17804100;17120900;17070700;16953800;18421000;20509800;21258100;19279200;19865100;18565800;18345000;18234200;18214900;18150500;17423700;16691500;17019700;17296500;18454300;18871000;18495600;18554200;17599500;17468800;17664300
281;17334600;17677700;17245300;17084500;17194800;16832500;17908500;16520100;16765400;16763300;16436500;17088600;16252000;16537000;17285600;18077700;17142700;17659200;16383900;16147200;16423700;16140700;15858200;15979200;16180000
287;15947600;15425300;15617800;16882000;15867700;22784900;19355300;17359900;16243700;16124300;18262400;19103100;18389600;19507400;19954900;17665400;18214600;18261000;12858500;18742300;19019400;18959900;18726200;19998300;20547600
291;25065600;23923400;23283900;21531000;21910300;21851200;23862400;23450400;24136700;23064900;26447900;23582500;23662300;24902100;23150400;23847300;22490000;24193600;23682300;24384600;23750300;24666800;24556900;23105000;22554600
297;26713200;25476000;28219500;26832700;29953900;27558100;25972300;27345100;26620300;26777700;27023300;28422100;27312700;27857900;27624800;27198900;26380300;26776000;27223700;25111100;25863200;24704200;25935400;24946000;24681800
301;25838100;28905400;25788300;29261200;30158200;26721500;26823000;26342500;25360700;25674400;22204800;21361900;21662800;22763300;23097500;23251500;23543300;23570600;24823700;24185200;23487400;21711800;24382300;24704700;25820300
307;22180900;21322900;20905900;18801200;20256900;20010400;18991800;18116400;19403200;19669700;18828500;19427400;19494100;20061400;20206800;18975000;19182700;17653000;18798200;20577500;21105900;19797000;20023200;21852000;11762900
311;15637000;15373600;20954600;23172000;22267200;22148000;22371800;21892200;21361400;20737500;21176500;20282300;20454400;20632400;21774600;21283500;22261800;21869300;20903400;21941300;22838900;22149800;22185400;21787400;21671300
317;20980000;20946900;21719000;21355800;21793900;23928100;23680500;23179300;23421600;22949800;23417500;22752900;25148700;24138700;25247500;22563000;23696900;24066900;22972200;23140400;22449800;21214400;21827800;22606000;23091900
321;25583700;23981900;24585500;24528200;23148300;24341800;24397600;24182400;22435600;22093400;22083000;22332400;23230700;23617000;23278100;23375300;23251200;23453100;23319300;22133000;24047300;22394000;22606600;22295700;22408400
327;21638400;22522300;22036300;22451500;23595700;23326600;25909500;24104600;24208500;23800800;23647700;25587900;30406900;28215200;22399300;22145200;23424800;21444300;22517800;23017700;22410000;23432500;23451400;24746800;23728300
331;27099400;27757700;28437900;29325100;30126300;31968700;31380900;33236700;31317600;30105500;31652700;29196100;30239700;28997200;29980300;29996500;27715700;26553800;27396100;30079100;32302300;29256500;29917600;29473300;29981200
337;24215600;24052400;23462800;21925300;21606200;21411100;20748300;21210400;21827900;21998200;20916800;20664900;21260700;23256100;22359200;21816900;22055500;21845100;22242900;22488700;25293000;23255600;22970600;22645600;22205900
341;26066800;29601600;27640500;27551800;26308700;25743100;25809900;27016200;26695000;26674600;28748500;27937300;28388800;31831700;32221200;29171900;27547600;26802900;24598900;23365500;25563300;26486600;27373500;27402100;25456500
347;34465400;31450800;34190800;31971500;27963500;26847600;26950400;27711000;26870700;27566500;27590900;27783400;27502700;26368900;25256400;25098200;26867000;25895100;26605600;27365800;27684600;25556400;27400500;25950400;28318200
351;32753100;32479500;31243000;28730000;27615300;28782600;31550700;27701600;27395900;26572800;26862800;27094000;27091200;26718200;27754700;27740500;26592100;27729300;27042600;27210400;27077700;27048700;27433900;27144300;27000600
