Height;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
101;2348000;2352300;2334000;2303800;2283800;2295600;2316600;2308000;2364100;2412000;2300800;2338600;2372100;2284000;2278800;2455300;2588200;2612000;2560200;2604100;2816100;3402200;2945500;2323600;2755900
111;3137800;2980700;2859100;2744900;2775000;2882900;2908900;3231500;4092000;2860900;2916800;2849200;2727500;2723900;2726800;2776700;3072300;2835000;2847200;2644900;2790700;2726500;3003400;2838900;2694600
121;3439700;3335900;3374700;3326000;3364500;3552400;3223000;3329500;3202800;3236800;3163600;3341000;3273300;3222500;3282000;3199700;3201600;3535800;3440500;3326600;3289000;3374000;3543700;3343600;3198300
131;3988700;3654200;3734600;3764600;3846700;3747800;3711100;3800700;3830200;3848100;3740600;3888300;3852100;3763300;3825300;3764700;3802600;3999000;3791100;3733700;3866500;4019200;4428800;5566300;3984000
141;4498100;4310700;4323600;4301300;4349500;4135100;5251800;4392000;4303700;5174700;4397200;4246900;4251000;4474600;4317700;4322800;4355700;4560300;4301200;4334900;5717500;5624700;5583600;7272000;4408900
151;6179000;8182400;15877400;5533400;5922500;5026800;5229100;5560600;5123600;4994300;5509400;4902200;5266000;5121700;6182200;5219700;4909100;4851400;5229600;5109200;4850700;5140200;5033900;4929400;5268400
161;5628000;5645700;5425300;5593700;5641600;5500400;5527200;5555300;5428800;5522900;5534900;5495400;5562000;5679000;5421100;5570900;5548800;5444600;5669300;5704200;5415300;5604400;5551400;5476700;5627800
171;6573400;6509600;6223900;6704800;6422200;6359100;6568800;6650900;6307900;6570000;6625500;6241800;6467200;6514300;6047500;6736700;6841400;6277800;6525900;6666100;6199100;6567000;6515600;6061800;6912800
181;7431300;6998800;7875200;6962700;7701500;9543200;7031200;7386400;7311000;7328200;7377400;7523600;6972800;7536500;7546500;6896400;7235600;7289600;7266800;7344700;7351000;7068900;7223500;7494500;6917800
191;7912300;8050900;7900700;8632900;7775300;7787100;7800300;8524400;7737600;8661000;8044100;8542500;8057000;7860100;8003700;7887800;8083800;7880000;8555300;7932000;7954400;7928600;8898600;7994300;8073100
201;9607300;8994300;8979300;8715600;8788900;8912200;8752600;8676800;8608500;8821200;8607900;8997300;10711100;9154800;9071100;9052900;10235400;11310200;9902000;8893500;8975900;8960900;8905200;8724200;9017400
211;9749900;9473600;9523300;10380800;9479700;9391100;9360300;10063800;9455500;9581700;9500100;9303400;9463100;9513600;9511400;9518100;9375900;9707100;9773400;10142700;9518300;9462500;9543100;9434100;9451400
